date;Ubat;Usol;temp;hum
2021-09-27 17:33:16;4160;4340;26.90;55.10
2021-09-27 17:34:22;4160;4357;26.20;55.80
2021-09-27 17:35:28;4122;4308;25.50;56.70
2021-09-27 17:36:34;4158;4366;24.90;57.70
2021-09-27 17:37:40;4160;4253;24.70;58.00
2021-09-27 17:38:46;4160;4081;24.50;63.50
2021-09-27 17:39:52;4160;4257;24.30;62.50
2021-09-27 17:40:58;4160;4264;24.40;61.90
2021-09-27 18:11:35;4123;1016;24.40;61.90
2021-09-27 18:12:44;4160;1685;24.40;61.70
2021-09-27 18:13:51;4160;399;24.30;63.90
2021-09-27 18:15:01;4144;31;24.30;65.30
2021-09-27 18:16:11;4160;745;24.50;66.20
2021-09-27 18:17:21;4160;0;24.70;64.00
2021-09-27 18:18:29;4137;0;24.90;60.70
2021-09-27 18:19:38;4160;0;24.80;60.50
2021-09-27 18:21:01;4123;0;24.80;61.10
2021-09-27 18:22:18;4157;3993;24.70;63.40
2021-09-27 18:33:43;4118;0;22.70;71.00
2021-09-27 18:34:52;4116;2547;22.70;76.90
2021-09-27 18:37:32;4118;3422;22.60;67.10
2021-09-27 18:38:40;4155;3545;22.60;74.80
2021-09-27 18:39:50;4155;1520;22.90;73.80
2021-09-27 18:40:59;4157;56;22.90;73.80
2021-09-27 18:42:05;4158;253;23.30;71.90
2021-09-27 18:43:14;4157;587;23.30;71.80
2021-09-27 18:44:23;4144;0;23.60;70.60
2021-09-27 18:45:29;4157;0;23.70;69.70
2021-09-27 18:46:38;4157;0;23.70;69.60
2021-09-27 18:47:47;4118;0;23.80;69.50
2021-09-27 18:48:55;4113;0;23.70;69.30
2021-09-27 18:50:01;4155;0;23.80;69.30
2021-09-27 18:51:07;4153;65;24.10;68.30
2021-09-27 18:52:13;4148;66;24.20;67.70
2021-09-27 18:53:19;4155;59;24.30;67.50
2021-09-27 18:54:25;4155;59;24.30;67.30
2021-09-27 23:19:31;4127;205;24.40;63.80
2021-09-27 23:23:31;4123;223;24.40;64.10
2021-09-27 23:24:37;4127;261;24.30;64.20
2021-09-27 23:25:43;4127;263;24.30;64.20
2021-09-27 23:26:49;4127;198;24.30;64.20
2021-09-27 23:27:55;4125;49;24.30;64.40
2021-09-27 23:29:01;4122;390;24.70;64.00
2021-09-27 23:30:07;4127;210;25.50;63.10
2021-09-27 23:31:13;4123;207;26.00;62.30
2021-09-27 23:32:19;4127;225;26.20;61.80
2021-09-27 23:33:25;4123;239;26.20;61.70
2021-09-27 23:34:31;4099;230;26.30;61.60
2021-09-27 23:35:37;4125;191;26.30;61.80
2021-09-27 23:36:43;4125;230;26.20;62.00
2021-09-27 23:37:49;4123;165;26.10;62.30
2021-09-27 23:38:55;4123;223;26.00;62.70
2021-09-27 23:40:01;4123;219;25.90;63.30
2021-09-27 23:41:07;4125;293;25.90;63.50
2021-09-27 23:42:13;4125;298;26.00;63.60
2021-09-27 23:43:19;4123;330;26.00;63.70
2021-09-27 23:44:25;4125;311;26.00;63.90
2021-09-27 23:45:34;4125;270;26.00;64.00
2021-09-27 23:46:40;4123;333;26.00;64.20
2021-09-27 23:47:46;4122;311;26.10;64.30
2021-09-27 23:48:52;4122;341;26.10;64.30
2021-09-27 23:49:58;4078;295;26.10;64.20
2021-09-27 23:51:04;4122;288;26.20;64.20
2021-09-27 23:52:10;4104;237;26.20;64.20
2021-09-27 23:53:16;4078;281;26.20;64.20
2021-09-27 23:54:22;4125;265;26.30;64.30
2021-09-27 23:55:28;4120;321;26.30;64.30
2021-09-27 23:56:34;4122;333;26.30;64.20
2021-09-27 23:57:40;4122;319;26.30;64.10
2021-09-27 23:58:46;4122;342;26.40;64.20
2021-09-27 23:59:52;4078;307;26.40;64.10
2021-09-28 00:00:58;4078;312;26.40;64.00
